nvalid Rows
Test Balewadi - Balewadi
Test Hinjewadi - Hinjewadi
Test Kharadi - Kharadi
Test Wagholi - Wagholi
Test Pimple Saudagar - Pimple Saudagar
Test Magarpatta - Magarpatta
Test Koregaon Park - Koregaon Park
Test Kalyani Nagar - Kalyani Nagar
Test Mundhwa - Mundhwa
Test NIBM - NIBM
Test Bibwewadi - Bibwewadi
Test Sinhagad Road - Sinhagad Road
Test Karve Nagar - Karve Nagar
Test Pashan - Pashan
Test Erandwane - Erandwane
Test Prabhat Road - Prabhat Road
Test Camp - Camp
Test Fatima Nagar - Fatima Nagar
Test Wanowrie - Wanowrie
Test Undri - Undri
Test Pisoli - Pisoli
Test Mohammed Wadi - Mohammed Wadi
Test Lohegaon - Lohegaon
Test Yerawada - Yerawada
Test Keshav Nagar - Keshav Nagar
Test Manjri - Manjri
Test Fursungi - Fursungi
Test Shewalewadi - Shewalewadi
Test Chandan Nagar - Chandan Nagar
Test Tingre Nagar - Tingre Nagar
Test Ghorpadi - Ghorpadi
Test Nigdi - Nigdi
Test Rahatani - Rahatani
Test Charholi - Charholi
Test Mamurdi - Mamurdi
Test Narhe - Narhe
Test Nanded City - Nanded City
Test Dhayari - Dhayari
Test Bopodi - Bopodi
Test Gultekdi - Gultekdi
Test Sahakar Nagar - Sahakar Nagar
Test Lullanagar - Lullanagar
Test Lavale - Lavale
Test Uruli Kanchan - Uruli Kanchan
Test Shivapur - Shivapur
